"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"","All Races","Maine","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","65056","."
"Males","All Races","Maryland","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","188416","."
"Females","All Races","Maryland","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","180453","."
"","All Races","Maryland","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","368869","."
"Males","All Races","Massachusetts","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","187056","."
"Females","All Races","Massachusetts","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","178696","."
"","All Races","Massachusetts","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","365752","."
"Males","All Races","Michigan","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","293379","."
"Females","All Races","Michigan","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","279122","."
"","All Races","Michigan","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","572501","."
"Males","All Races","Minnesota","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","178780","."
"Females","All Races","Minnesota","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","170710","."
"","All Races","Minnesota","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","349490","."
"Males","All Races","Mississippi","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","98895","."
"Females","All Races","Mississippi","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","95057","."
"","All Races","Mississippi","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","193952","."
"Males","All Races","Missouri","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","192522","."
"Females","All Races","Missouri","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","182644","."
"","All Races","Missouri","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","375166","."
"Males","All Races","Montana","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","31114","."
"Females","All Races","Montana","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","30336","."
"","All Races","Montana","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","61450","."
"Males","All Races","Nebraska","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","66772","."
"Females","All Races","Nebraska","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","63689","."
"","All Races","Nebraska","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","130461","."
"Males","All Races","Nevada","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","90144","."
"Females","All Races","Nevada","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","86370","."
"","All Races","Nevada","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","176514","."
"Males","All Races","New Hampshire","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","33024","."
"Females","All Races","New Hampshire","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","31781","."
"","All Races","New Hampshire","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","64805","."
"Males","All Races","New Jersey","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","271358","."
"Females","All Races","New Jersey","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","260437","."
"","All Races","New Jersey","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","531795","."
"Males","All Races","New Mexico","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","69352","."
"Females","All Races","New Mexico","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","67037","."
"","All Races","New Mexico","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","136389","."
"Males","All Races","New York","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","604994","."
"Females","All Races","New York","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","578120","."
"","All Races","New York","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","1183114","."
"Males","All Races","North Carolina","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","309414","."
"Females","All Races","North Carolina","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","296563","."
"","All Races","North Carolina","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","605977","."
"Males","All Races","North Dakota","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","26031","."
"Females","All Races","North Dakota","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","25123","."
"","All Races","North Dakota","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","51154","."
"Males","All Races","Ohio","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","354270","."
"Females","All Races","Ohio","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","338198","."
"","All Races","Ohio","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","692468","."
"Males","All Races","Oklahoma","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","136134","."
"Females","All Races","Oklahoma","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","130271","."
"","All Races","Oklahoma","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","266405","."
"Males","All Races","Oregon","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","118104","."
"Females","All Races","Oregon","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","112366","."
"","All Races","Oregon","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","230470","."
"Males","All Races","Pennsylvania","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","365474","."
"Females","All Races","Pennsylvania","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","349515","."
"","All Races","Pennsylvania","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","714989","."
"Males","All Races","Rhode Island","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","28090","."
"Females","All Races","Rhode Island","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","26979","."
"","All Races","Rhode Island","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","55069","."
"Males","All Races","South Carolina","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","147693","."
"Females","All Races","South Carolina","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","142169","."
"","All Races","South Carolina","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","289862","."
"Males","All Races","South Dakota","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","31208","."
"Females","All Races","South Dakota","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","29599","."
"","All Races","South Dakota","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","60807","."
"Males","All Races","Tennessee","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","204215","."
"Females","All Races","Tennessee","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","196440","."
"","All Races","Tennessee","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","400655","."
"Males","All Races","Texas","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","1001863","."
"Females","All Races","Texas","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","960645","."
"","All Races","Texas","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","1962508","."
"Males","All Races","Utah","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","129899","."
"Females","All Races","Utah","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","122635","."
"","All Races","Utah","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","252534","."
"Males","All Races","Vermont","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","15885","."
"Females","All Races","Vermont","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","14634","."
"","All Races","Vermont","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","30519","."
"Males","All Races","Virginia","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","262917","."
"Females","All Races","Virginia","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","250640","."
"","All Races","Virginia","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","513557","."
"Males","All Races","Washington","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","228558","."
"Females","All Races","Washington","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","217639","."
"","All Races","Washington","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","446197","."
"Males","All Races","West Virginia","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","52342","."
"Females","All Races","West Virginia","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","50599","."
"","All Races","West Virginia","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","102941","."
"Males","All Races","Wisconsin","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","175071","."
"Females","All Races","Wisconsin","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","167049","."
"","All Races","Wisconsin","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","342120","."
"Males","All Races","Wyoming","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","19643","."
"Females","All Races","Wyoming","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","18919","."
"","All Races","Wyoming","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","38562","."
"Males","All Races","Alabama","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","156356","."
"Females","All Races","Alabama","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","150500","."
"","All Races","Alabama","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","306856","."
"Males","All Races","Alaska","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","26774","."
"Females","All Races","Alaska","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","25225","."
"","All Races","Alaska","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","51999","."
"Males","All Races","Arizona","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","235512","."
"Females","All Races","Arizona","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","226189","."
"","All Races","Arizona","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","461701","."
"Males","All Races","Arkansas","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","101448","."
"Females","All Races","Arkansas","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","97345","."
"","All Races","Arkansas","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","198793","."
"Males","All Races","California","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","1305469","."
"Females","All Races","California","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","1249153","."
"","All Races","California","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","2554622","."
"Males","All Races","Colorado","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","181858","."
"Females","All Races","Colorado","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","173248","."
"","All Races","Colorado","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","355106","."
"Males","All Races","Connecticut","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","107200","."
"Females","All Races","Connecticut","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","102874","."
"","All Races","Connecticut","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","210074","."
"Males","All Races","Delaware","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","28455","."
"Females","All Races","Delaware","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","27972","."
"","All Races","Delaware","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","56427","."
"Males","All Races","District of Columbia","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","15632","."
"Females","All Races","District of Columbia","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","15597","."
"","All Races","District of Columbia","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","31229","."
"Males","All Races","Florida","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","575015","."
"Females","All Races","Florida","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","550350","."
"","All Races","Florida","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","1125365","."
"Males","All Races","Georgia","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","359369","."
"Females","All Races","Georgia","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","345197","."
"","All Races","Georgia","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","704566","."
"Males","All Races","Hawaii","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","44695","."
"Females","All Races","Hawaii","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","42049","."
"","All Races","Hawaii","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","86744","."
"Males","All Races","Idaho","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","63648","."
"Females","All Races","Idaho","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","60186","."
"","All Races","Idaho","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","123834","."
"Males","All Races","Illinois","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","422265","."
"Females","All Races","Illinois","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","406862","."
"","All Races","Illinois","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","829127","."
"Males","All Races","Indiana","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","225223","."
"Females","All Races","Indiana","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","215361","."
"","All Races","Indiana","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","440584","."
"Males","All Races","Iowa","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","105046","."
"Females","All Races","Iowa","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","100427","."
"","All Races","Iowa","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","205473","."
"Males","All Races","Kansas","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","104171","."
"Females","All Races","Kansas","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","99261","."
"","All Races","Kansas","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","203432","."
"Males","All Races","Kentucky","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","143795","."
"Females","All Races","Kentucky","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","138328","."
"","All Races","Kentucky","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","282123","."
"Males","All Races","Louisiana","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","160100","."
"Females","All Races","Louisiana","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","153838","."
"","All Races","Louisiana","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","313938","."
"Males","All Races","Maine","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","36497","."
"Females","All Races","Maine","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","34608","."
"","All Races","Maine","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","71105","."
"Males","All Races","Maryland","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","190915","."
"Females","All Races","Maryland","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","183748","."
"","All Races","Maryland","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","374663","."
"Males","All Races","Massachusetts","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","192088","."
"Females","All Races","Massachusetts","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","184374","."
"","All Races","Massachusetts","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","376462","."
"Males","All Races","Michigan","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","309630","."
"Females","All Races","Michigan","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","295893","."
"","All Races","Michigan","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","605523","."
"Males","All Races","Minnesota","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","184322","."
"Females","All Races","Minnesota","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","177331","."
"","All Races","Minnesota","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","361653","."
"Males","All Races","Mississippi","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","106841","."
"Females","All Races","Mississippi","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","102515","."
"","All Races","Mississippi","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","209356","."
"Males","All Races","Missouri","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","198805","."
"Females","All Races","Missouri","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","191136","."
"","All Races","Missouri","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","389941","."
"Males","All Races","Montana","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","32920","."
"Females","All Races","Montana","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","31008","."
"","All Races","Montana","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","63928","."
"Males","All Races","Nebraska","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","68247","."
"Females","All Races","Nebraska","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","64869","."
"","All Races","Nebraska","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","133116","."
"Males","All Races","Nevada","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","96841","."
"Females","All Races","Nevada","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","92773","."
"","All Races","Nevada","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","189614","."
"Males","All Races","New Hampshire","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","36714","."
"Females","All Races","New Hampshire","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","35465","."
"","All Races","New Hampshire","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","72179","."
"Males","All Races","New Jersey","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","280836","."
"Females","All Races","New Jersey","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","270213","."
"","All Races","New Jersey","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","551049","."
"Males","All Races","New Mexico","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","72714","."
"Females","All Races","New Mexico","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","69716","."
"","All Races","New Mexico","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","142430","."
"Males","All Races","New York","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","583749","."
"Females","All Races","New York","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","557353","."
"","All Races","New York","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","1141102","."
"Males","All Races","North Carolina","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","328931","."
"Females","All Races","North Carolina","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","316168","."
"","All Races","North Carolina","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","645099","."
"Males","All Races","North Dakota","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","24918","."
"Females","All Races","North Dakota","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","23542","."
"","All Races","North Dakota","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","48460","."
"Males","All Races","Ohio","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","371376","."
"Females","All Races","Ohio","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","356971","."
"","All Races","Ohio","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","728347","."
"Males","All Races","Oklahoma","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","137935","."
"Females","All Races","Oklahoma","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","131992","."
"","All Races","Oklahoma","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","269927","."
"Males","All Races","Oregon","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","123151","."
"Females","All Races","Oregon","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","117816","."
"","All Races","Oregon","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","240967","."
"Males","All Races","Pennsylvania","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","378823","."
"Females","All Races","Pennsylvania","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","361638","."
"","All Races","Pennsylvania","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","740461","."
"Males","All Races","Rhode Island","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","29474","."
"Females","All Races","Rhode Island","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","28260","."
"","All Races","Rhode Island","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","57734","."
"Males","All Races","South Carolina","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","156656","."
"Females","All Races","South Carolina","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","151646","."
"","All Races","South Carolina","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","308302","."
"Males","All Races","South Dakota","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","30961","."
"Females","All Races","South Dakota","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","29305","."
"","All Races","South Dakota","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","60266","."
"Males","All Races","Tennessee","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","212752","."
"Females","All Races","Tennessee","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","205188","."
"","All Races","Tennessee","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","417940","."
"Males","All Races","Texas","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","1025826","."
"Females","All Races","Texas","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","985889","."
"","All Races","Texas","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","2011715","."
"Males","All Races","Utah","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","134777","."
"Females","All Races","Utah","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","127562","."
"","All Races","Utah","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","262339","."
"Males","All Races","Vermont","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","16900","."
"Females","All Races","Vermont","Both","05-09 yrs","2014","2014","Suicide Injury","2014","P","16000","."
